time,name,location,EC_mS.cm-1,EC_uS.cm-1,comment
2022-05-04,ditchRD,ditchF,2.87,2870.0,before pumping
2022-05-04,drainRD,drainRef,,,before pumping
2022-05-04,ditchCD,ditchA,1.43,1430.0,before pumping
2022-05-04,drainCD,drainCDF,,,before pumping
2022-05-04,CD1-150,A150,1.87,1870.0,before pumping
2022-05-04,CD1-200,A200,4.11,4110.0,before pumping
2022-05-04,CD1-300,A300,6.79,6790.0,before pumping
2022-05-04,CD2-150,B150,3.69,3690.0,before pumping
2022-05-04,CD2-200,B200,11.05,11050.0,before pumping
2022-05-04,CD2-300,B300,14.2,14200.0,before pumping
2022-05-04,CD3-150,C150,4.61,4610.0,before pumping
2022-05-04,CD3-200,C200,9.47,9470.0,before pumping
2022-05-04,CD3-300,C300,9.36,9360.0,before pumping
2022-05-04,RD3-150,D150,2.89,2890.0,before pumping
2022-05-04,RD3-200,D200,2.57,2570.0,before pumping
2022-05-04,RD3-300,D300,3.47,3470.0,before pumping
2022-05-04,RD2-150,E150,4.1,4100.0,before pumping
2022-05-04,RD2-200,E200,6.45,6450.0,before pumping
2022-05-04,RD2-300,E300,8.1,8100.0,before pumping
2022-05-04,RD1-150,F150,5.22,5220.0,before pumping
2022-05-04,RD1-200,F200,11.77,11770.0,before pumping
2022-05-04,RD1-300,F300,14.25,14250.0,before pumping
2022-05-05,CD1-150,A150,,,after pumping
2022-05-05,CD1-200,A200,,,after pumping
2022-05-05,CD1-300,A300,,,after pumping
2022-05-05,CD2-150,B150,7.44,7440.0,after pumping
2022-05-05,CD2-200,B200,11.52,11520.0,after pumping
2022-05-05,CD2-300,B300,15.7,15700.0,after pumping
2022-05-05,CD3-150,C150,4.8,4800.0,after pumping
2022-05-05,CD3-200,C200,7.78,7780.0,after pumping
2022-05-05,CD3-300,C300,9.85,9850.0,after pumping
2022-05-05,RD3-150,D150,2.97,2970.0,after pumping
2022-05-05,RD3-200,D200,,,after pumping
2022-05-05,RD3-300,D300,5.39,5390.0,after pumping
2022-05-05,RD2-150,E150,3.9,3900.0,after pumping
2022-05-05,RD2-200,E200,7.45,7450.0,after pumping
2022-05-05,RD2-300,E300,10.58,10580.0,after pumping
2022-05-05,RD1-150,F150,6.64,6640.0,after pumping
2022-05-05,RD1-200,F200,,,after pumping
2022-05-05,RD1-300,F300,13.82,13820.0,after pumping
2022-06-01,CD1-150,A150,2.08,2080.0,
2022-06-01,CD1-200,A200,3.28,3280.0,
2022-06-01,CD1-300,A300,8.76,8760.0,
2022-06-01,CD2-150,B150,2.66,2660.0,
2022-06-01,CD2-200,B200,10.26,10260.0,
2022-06-01,CD2-300,B300,21.1,21100.0,
2022-06-01,CD3-150,C150,3.45,3450.0,
2022-06-01,CD3-200,C200,9.22,9220.0,
2022-06-01,CD3-300,C300,11.72,11720.0,
2022-06-01,RD3-150,D150,,,
2022-06-01,RD3-200,D200,,,"2,46'"
2022-06-01,RD3-300,D300,,,"2,81'"
2022-06-01,RD2-150,E150,,,samples lost
2022-06-01,RD2-200,E200,,,samples lost
2022-06-01,RD2-300,E300,,,samples lost
2022-06-01,RD1-150,F150,,,samples lost
2022-06-01,RD1-200,F200,,,samples lost
2022-06-01,RD1-300,F300,,,samples lost
2022-07-06,CD1-150,A150,3.28,3280.0,
2022-07-06,CD1-200,A200,2.55,2550.0,
2022-07-06,CD1-300,A300,9.38,9380.0,
2022-07-06,CD2-150,B150,4.04,4040.0,
2022-07-06,CD2-200,B200,8.23,8230.0,
2022-07-06,CD2-300,B300,22.4,22400.0,
2022-07-06,CD3-150,C150,3.92,3920.0,
2022-07-06,CD3-200,C200,9.28,9280.0,
2022-07-06,CD3-300,C300,9.49,9490.0,
2022-07-06,RD3-300,D300,6.62,6620.0,
2022-07-06,RD2-300,E300,14.07,14070.0,
2022-07-06,RD1-300,F300,18.04,18040.0,
2022-07-06,ditchRD,ditchF,6.75,6750.0,
2022-07-06,ditchCD,ditchA,4.64,4640.0,
2022-08-02,CD1-150,A150,6.18,6180.0,
2022-08-02,CD1-200,A200,2.82,2820.0,
2022-08-02,CD1-300,A300,8.99,8990.0,
2022-08-02,CD2-150,B150,4.47,4470.0,
2022-08-02,CD2-200,B200,6.25,6250.0,
2022-08-02,CD2-300,B300,20.2,20200.0,
2022-08-02,CD3-150,C150,4.52,4520.0,
2022-08-02,CD3-200,C200,8.77,8770.0,
2022-08-02,CD3-300,C300,11.65,11650.0,
2022-08-02,RD3-300,D300,6.78,6780.0,
2022-08-02,RD2-300,E300,16.73,16730.0,
2022-08-02,RD1-300,F300,20.2,20200.0,
2022-08-02,ditchRD,ditchF,9.49,9490.0,
