time,sample id,name,depth,ec1_5_uS_cm-1,comment
2024-02-12,2024004407,CD1-30,0.3,142.0,
2024-02-12,2024004408,CD1-60,0.6,154.0,
2024-02-12,2024004409,CD1-90,0.9,148.0,
2024-02-12,2024004410,CD1-150,1.5,150.0,
2024-02-12,2024004411,CD1-200,2.0,208.0,
2024-02-12,2024004412,CD1-300,3.0,855.0,
2024-02-12,2024004413,CD2-30,0.3,139.0,
2024-02-12,2024004414,CD2-60,0.6,171.0,
2024-02-12,2024004415,CD2-90,0.9,221.0,
2024-02-12,2024004416,CD2-150,1.5,470.0,
2024-02-12,2024004417,CD2-200,2.0,1424.0,
2024-02-12,2024004418,CD2-300,3.0,8661.0,
2024-02-12,2024004419,CD3-30,0.3,143.0,
2024-02-12,2024004420,CD3-60,0.6,165.0,
2024-02-12,2024004421,CD3-90,0.9,195.0,
2024-02-12,2024004422,CD3-150,1.5,525.0,
2024-02-12,2024004423,CD3-200,2.0,1461.0,
2024-02-12,2024004424,CD3-300,3.0,8593.0,
2024-02-12,2024004425,ND1-30,0.3,144.0,
2024-02-12,2024004426,ND1-60,0.6,182.0,
2024-02-12,2024004427,ND1-90,0.9,183.0,
2024-02-12,2024004428,ND1-150,1.5,373.0,
2024-02-12,2024004429,ND1-200,2.0,1199.0,
2024-02-12,2024004430,ND1-300,3.0,6050.0,
2024-02-12,2024004431,ND2-30,0.3,166.0,
2024-02-12,2024004432,ND2-60,0.6,166.0,
2024-02-12,2024004433,ND2-90,0.9,191.0,
2024-02-12,2024004434,ND2-150,1.5,290.0,
2024-02-12,2024004435,ND2-200,2.0,1358.0,
2024-02-12,2024004436,ND2-300,3.0,1392.0,
2024-02-12,2024004437,ND3-30,0.3,152.0,
2024-02-12,2024004438,ND3-60,0.6,158.0,
2024-02-12,2024004439,ND3-90,0.9,181.0,
2024-02-12,2024004440,ND3-150,1.5,587.0,
2024-02-12,2024004441,ND3-200,2.0,1102.0,
2024-02-12,2024004442,ND3-300,3.0,1839.0,
2024-02-12,2024004443,RD1-30,0.3,149.0,
2024-02-12,2024004444,RD1-60,0.6,143.0,
2024-02-12,2024004445,RD1-90,0.9,185.0,
2024-02-12,2024004446,RD1-150,1.5,681.0,DR1 -> typo in name
2024-02-12,2024004447,RD1-200,2.0,2122.0,
2024-02-12,2024004448,RD1-300,3.0,16383.0,
2024-02-12,2024004449,RD2-30,0.3,103.0,
2024-02-12,2024004450,RD2-60,0.6,161.0,
2024-02-12,2024004451,RD2-90,0.9,179.0,
2024-02-12,2024004452,RD2-150,1.5,343.0,
2024-02-12,2024004453,RD2-200,2.0,1572.0,
2024-02-12,2024004454,RD2-300,3.0,10546.0,
2024-02-12,2024004455,RD3-30,0.3,139.0,
2024-02-12,2024004456,RD3-60,0.6,137.0,
2024-02-12,2024004457,RD3-90,0.9,148.0,
2024-02-12,2024004458,RD3-150,1.5,199.0,
2024-02-12,2024004459,RD3-200,2.0,419.0,
2024-02-12,2024004460,RD3-300,3.0,327.0,
2024-05-16,na,T2-30,0.3,,
2024-05-16,na,T2-60,0.6,,
2024-05-16,na,T2-90,0.9,,
2024-05-16,na,T2-150,1.5,,
2024-05-16,na,T2-200,2.0,,
2024-05-16,na,T2-300,3.0,,
2024-05-16,2024010117,CD1-30,0.3,171.0,
2024-05-16,2024010118,CD1-60,0.6,168.0,
2024-05-16,2024010119,CD1-90,0.9,165.0,
