a,b,m,n,vp,i,K,resist,zpos,spacing,app,eca,appdiffa,ecadiffa,appdiff,ecadiff,irecip,name,time
1,4,2,3,155.811,33.721,1.8843772118804263,4.620592509118947,-2.825,1,7.782056279103154,128.50074120965434,-1.6918050073540112,22.947158592871176,-17.857607961522906,21.73981974271951,1,CD1,2022-07-06
2,5,3,4,151.92,30.927,1.88422622179055,4.912212629741003,-2.675,1,8.55450656110553,116.89744964913164,-0.4357840671840023,5.666340295077617,-4.847274523169818,5.094204605153564,2,CD1,2022-07-06
3,6,4,5,145.486,27.485,1.8840176612835497,5.2932872475895945,-2.5249999999999995,1,9.38603103307135,106.54130552909268,-0.5798428457888178,6.1988757376398524,-5.818284004364067,6.177721379204506,3,CD1,2022-07-06
4,7,5,6,138.823,26.057,1.883721200271019,5.327666270100166,-2.375,1,9.58416951022304,104.33872219531813,-1.6730634338914108,15.50694577526778,-14.862119689600348,17.456530084394085,4,CD1,2022-07-06
5,8,6,7,161.804,20.6,1.883285077845799,7.854563106796116,-2.2249999999999996,1,13.749989696657886,72.7273272243297,-1.368575526735313,6.583484523391121,-9.05228443647347,9.953284016408835,5,CD1,2022-07-06
6,9,7,8,156.482,16.169,1.882616083862525,9.677902158451356,-2.0749999999999997,1,17.20837394789902,58.11124299295522,-2.0679664606631682,6.234176142868947,-10.72800343235595,12.017210149687903,6,CD1,2022-07-06
7,10,8,9,158.151,15.407,1.8815348960355187,10.264879600181736,-1.925,1,18.317361703241044,54.593014878505215,-1.81333766236013,4.9176418654456455,-9.007822477636894,9.899556998098042,7,CD1,2022-07-06
8,11,9,10,163.401,15.107,1.8796664873194247,10.816244125239956,-1.7750000000000001,1,19.58750846916338,51.05294537966889,-1.1161237844122986,2.752242017470593,-5.39095638263926,5.698140660255037,8,CD1,2022-07-06
9,12,10,11,140.182,13.128,1.8761361487197266,10.678092626447286,-1.625,1,19.428213966295953,51.471535249446966,-0.23325728512124044,0.6106415140445236,-1.186367399155988,1.2006110573308268,9,CD1,2022-07-06
10,13,11,12,106.908,14.088,1.8685752249224108,7.588586030664396,-1.475,1,13.344549593851882,74.93696156374745,-0.9668473726193731,5.062580862632089,-6.755786139427922,7.245260439998831,10,CD1,2022-07-06
11,14,12,13,107.776,12.91,1.8490027606959014,8.34825716498838,-1.325,1,14.223331391127232,70.30701686552968,-1.4757323844619368,6.608950898378005,-9.400129877531848,10.375434164337364,11,CD1,2022-07-06
12,15,13,14,44.051,7.488,1.779059210572197,5.882879273504273,-1.175,1,10.399613396329313,96.15742065497972,-0.41380885206698537,3.679759371725325,-3.8268074857462997,3.979079185895942,12,CD1,2022-07-06
13,16,14,15,50.362,7.255,1.2999693738992246,6.9416953824948315,-1.0250000000000001,1,8.974048179111048,111.43243049749908,0.1908072928615656,-2.4207602496134513,2.1724019110107995,-2.1262120400212368,13,CD1,2022-07-06
1,7,3,5,60.227,33.878,3.7564016479116678,1.7777613790660605,-2.6,2,6.592349062546126,151.69099671639287,-0.5856092325833195,12.375614976359202,-8.158437378783333,8.883164817688574,14,CD1,2022-07-06
2,8,4,6,62.685,29.165,3.7522722974394527,2.1493228184467683,-2.4499999999999997,2,8.097623032762606,123.49302949199371,-1.9161457067174972,23.63052756927422,-19.135110432128673,23.663063827062093,15,CD1,2022-07-06
3,9,5,7,64.319,23.0,3.74626054952539,2.7964782608695655,-2.3000000000000003,2,10.613607954781855,94.21866760675478,-1.231268542063603,9.793979830033663,-10.39494622330183,11.600848149934421,16,CD1,2022-07-06
4,10,6,8,66.449,21.238,3.737150449844826,3.1287786043883603,-2.15,2,11.353742395495283,88.07668565712399,-1.7163856795192398,11.566341285545306,-13.132125941446313,15.117356196140527,17,CD1,2022-07-06
5,11,7,9,78.846,21.833,3.72263957071142,3.611322310264279,-2.0,2,13.183042656478062,75.85502270286644,-1.4857619021893385,7.6831416200874685,-10.128718371337506,11.270250282162628,18,CD1,2022-07-06
6,12,8,10,74.404,19.066,3.6980055213917984,3.902444141403546,-1.85,2,14.157277058744212,70.63505191362714,-2.09509449281512,9.105570088308227,-12.891007851799365,14.79871082639502,19,CD1,2022-07-06
7,13,9,11,65.128,16.978,3.6525091059037025,3.836023088703027,-1.7000000000000002,2,13.389648621715716,74.6845588149469,-1.4617726238913331,7.350935758783621,-9.842644685091777,10.917184350309164,20,CD1,2022-07-06
8,14,10,12,57.949,15.497,3.558118421144393,3.7393689101116343,-1.55,2,12.92176633619651,77.38880072446408,-1.2501258877053427,6.826593208277032,-8.821164230962193,9.674574320412246,21,CD1,2022-07-06
9,15,11,13,52.189,12.035,3.3263922214480157,4.336435396759452,-1.4000000000000001,2,13.576075203538723,73.65899090919453,-1.731448141168503,8.331636674208966,-11.311092605762209,12.753672289007262,22,CD1,2022-07-06
10,16,12,14,47.65,11.012,2.59993874779845,4.327097711587359,-1.25,2,10.586436316455897,94.4604936078034,-1.0661603533023278,8.642711671243106,-9.149551670910524,10.071003323800795,23,CD1,2022-07-06
1,10,4,7,49.955,40.17,5.5470082820877025,1.2435897435897434,-2.3749999999999996,3,6.892352701936401,145.0883382272429,-0.9149198044825031,17.002633625817737,-11.718814781093956,13.274419404356038,24,CD1,2022-07-06
2,11,5,8,51.688,34.793,5.506705589363202,1.485586181128388,-2.225,3,8.093741931937478,123.55224671224725,-0.9160397171291255,12.561765594028572,-10.167168892755859,11.317876512895486,25,CD1,2022-07-06
3,12,6,9,53.036,29.366,5.443253015796695,1.8060341891983929,-2.0749999999999997,3,9.674323714774218,103.36639846698972,-0.9713628126452214,9.431639311310889,-9.124473185861165,10.04062755479019,26,CD1,2022-07-06
4,13,7,10,50.617,27.62,5.33717763171659,1.8326212889210716,-1.9249999999999998,3,9.832775046323436,101.70068930580378,-0.6351863224257315,6.171104817139238,-6.067908545421303,6.459888682831543,27,CD1,2022-07-06
5,14,8,11,51.653,26.082,5.1456240914694025,1.98040794417606,-1.775,3,10.226348707906451,97.7866126574439,-0.5753908767981262,5.208931797963189,-5.326835296167371,5.626552479608535,28,CD1,2022-07-06
6,15,9,12,47.377,21.832,4.763257097143395,2.170071454745328,-1.625,3,10.188257453797782,98.15221145861791,-0.73419852759082,6.597711105953891,-6.721917935323914,7.206320913270009,29,CD1,2022-07-06
7,16,10,13,44.512,19.045,3.899908121697674,2.3372013651877133,-1.475,3,8.927917517488577,112.00820326141408,-0.5152482377020888,6.111512900946181,-5.4563083086714865,5.771202933862094,30,CD1,2022-07-06
1,13,5,9,45.164,38.451,6.940741393216954,1.1745858365192063,-2.1500000000000004,4,8.135563235739827,122.91711969086091,-0.5133066417796464,7.295077255092011,-5.93495623184083,6.309417392574273,31,CD1,2022-07-06
2,14,6,10,47.364,34.479,6.652784442896036,1.3737057339249978,-1.9999999999999998,4,9.152730911125937,109.25700861416273,-0.4255626989210253,4.854278784387034,-4.442990748108198,4.649570746188087,32,CD1,2022-07-06
3,15,7,11,44.646,30.966,6.148619559249876,1.4417748498353031,-1.8499999999999999,4,8.900402457145859,112.35446990345149,-0.3500733123444739,4.251922000113069,-3.784381701739884,3.933230143580882,33,CD1,2022-07-06
4,16,8,12,42.961,27.669,5.199877495596897,1.5526762803137084,-1.7,4,8.158150235100655,122.57680616096941,-0.1567463462594798,2.3107282590814293,-1.8851268290078906,1.9213466501888432,34,CD1,2022-07-06
1,4,2,3,138.279,34.425,1.8843772118804263,4.01681917211329,-2.825,1,6.857448723677949,145.82682864942464,-2.6164125627792156,40.27324603264148,-27.617171960490534,38.154314646860676,1,CD1,2022-08-02
2,5,3,4,156.223,32.547,1.88422622179055,4.799920115525241,-2.675,1,8.615923345085461,116.06417094813197,-0.3743672832040712,4.833061594077947,-4.164128821665216,4.345062835518503,3,CD1,2022-08-02
1,7,3,5,44.878,27.202,3.7564016479116678,1.649805161385192,-2.6,2,6.266015932372281,159.59104011109739,-0.9119423627571646,20.275658371063713,-12.704759839242264,14.553783019378757,5,CD1,2022-08-02
3,6,4,5,149.861,29.87,1.8840176612835497,5.017107465684633,-2.5249999999999995,1,9.026571033918659,110.78403928162244,-0.9393028449415084,10.441609490169611,-9.425192977145521,10.405976327133976,6,CD1,2022-08-02
2,8,4,6,50.321,25.253,3.7522722974394527,1.9926741377262107,-2.4499999999999997,2,7.634556398008232,130.98337976269173,-2.379212341471871,31.120877839972238,-23.759409702479264,31.163727365909306,8,CD1,2022-08-02
4,7,5,6,158.518,28.762,1.883721200271019,5.511369167651763,-2.375,1,10.4638067039351,95.56751460478836,-0.7934262401793504,6.735738184738011,-7.048146237341323,7.582577379616241,9,CD1,2022-08-02
1,10,4,7,26.839,20.699,5.5470082820877025,1.2966326875694476,-2.3749999999999996,3,7.097599130760625,140.89271337769023,-0.7096733756582791,12.807008776265064,-9.089901435806256,9.998780750839984,12,CD1,2022-08-02
3,9,5,7,56.485,22.009,3.74626054952539,2.566450088600118,-2.3000000000000003,2,9.543630019942572,104.78193286101606,-2.301246476902886,20.357245084294945,-19.42820153098056,24.112905383948792,13,CD1,2022-08-02
5,8,6,7,162.829,24.056,1.883285077845799,6.768747921516462,-2.2249999999999996,1,12.569635361139914,79.55680266522162,-2.548929862253285,13.412959964283047,-16.85960158646063,20.278471005877492,14,CD1,2022-08-02
2,11,5,8,36.231,23.519,5.506705589363202,1.540499170883116,-2.225,3,8.400733275642574,119.037227726232,-0.6090483734240291,8.046746608013322,-6.75985719906015,7.249942992356736,17,CD1,2022-08-02
4,10,6,8,71.545,22.154,3.737150449844826,3.2294393788932023,-2.15,2,12.09183469167836,82.70043591384882,-0.9782933833361636,6.190091542270139,-7.484956365548672,8.090528925353489,18,CD1,2022-08-02
6,9,7,8,178.784,19.068,1.882616083862525,9.376127543528423,-2.0749999999999997,1,16.76530715597963,59.64698354144577,-2.511033252582557,7.769916691359498,-13.026503990701489,14.97755590888149,19,CD1,2022-08-02
1,13,5,9,25.688,22.164,6.940741393216954,1.158996571016062,-2.1500000000000004,4,7.963766456692779,125.56872497932135,-0.6851034208266942,9.946682543552441,-7.921305679571448,8.60275630321795,21,CD1,2022-08-02
3,12,6,9,40.379,23.343,5.443253015796695,1.729811935055477,-2.0749999999999997,3,9.243673433227707,108.18209959747787,-1.402013094191732,14.24734044179904,-13.16977623360084,15.167272019281816,23,CD1,2022-08-02
5,11,7,9,85.618,23.357,3.72263957071142,3.6656248662071325,-2.0,2,13.532599877330783,73.89563048229601,-1.1362046813366167,5.723749399517047,-7.74572104217766,8.396056128430544,24,CD1,2022-08-02
7,10,8,9,180.448,17.096,1.8815348960355187,10.55498362189986,-1.925,1,18.5411195800286,53.93417564045814,-1.5895797855725746,4.258802627398573,-7.89629687823369,8.573267534959307,25,CD1,2022-08-02
2,14,6,10,22.013,17.241,6.652784442896036,1.2767820892059627,-1.9999999999999998,4,8.492347531738668,117.75307078080289,-1.0859460783082948,13.350340951027192,-11.337573502332535,12.787348542317206,28,CD1,2022-08-02
4,13,7,10,42.694,23.797,5.33717763171659,1.794091692230113,-1.9249999999999998,3,9.606692301290243,104.09410113673499,-0.8612690674589238,8.564516648070452,-8.227667614729057,8.965302941401058,30,CD1,2022-08-02
6,12,8,10,75.659,20.68,3.6980055213917984,3.6585589941972922,-1.85,2,13.451019221729132,74.34380871187616,-2.8013523298302,12.814326886557254,-17.236575726460206,20.826320174346495,31,CD1,2022-08-02
8,11,9,10,175.187,17.402,1.8796664873194247,10.067061257326744,-1.7750000000000001,1,18.247370696804715,54.802416009179304,-2.456261556770965,6.501712646981005,-11.863916083356578,13.460906766151684,32,CD1,2022-08-02
3,15,7,11,14.001,10.211,6.148619559249876,1.3711683478601506,-1.8499999999999999,4,8.416033530591857,118.8208193759032,-0.8344422388984754,10.71827147256478,-9.02053321030914,9.914911054777996,35,CD1,2022-08-02
5,14,8,11,31.446,17.114,5.1456240914694025,1.8374430290989834,-1.775,3,9.473425693583344,105.55843602355293,-1.3283138911212333,12.980755164072221,-12.297221949343653,14.021473689511726,37,CD1,2022-08-02
7,13,9,11,70.693,18.361,3.6525091059037025,3.8501715592832633,-1.7000000000000002,2,13.503034780850468,74.05742606974286,-1.3483864647565813,6.723803013579584,-9.079174595195223,9.985803092715253,38,CD1,2022-08-02
9,12,10,11,158.86,15.031,1.8761361487197266,10.568824429512341,-1.625,1,18.577680706227753,53.828032455352314,-1.0837905451894407,2.9671387199498724,-5.512255575031403,5.833831264126123,39,CD1,2022-08-02
4,16,8,12,12.612,8.205,5.199877495596897,1.5371115173674588,-1.7,4,8.0106187497997,124.83430197261656,-0.30427783156043375,4.568224070728576,-3.659430139426468,3.798431070858811,42,CD1,2022-08-02
6,15,9,12,15.875,7.484,4.763257097143395,2.121191876002138,-1.625,3,9.908962600775826,100.91873794353656,-1.0134933806127755,9.364237590872534,-9.278988007273501,10.22804728855697,44,CD1,2022-08-02
8,14,10,12,54.985,13.876,3.558118421144393,3.9625972902853848,-1.55,2,13.547073746263555,73.81667943424402,-0.6248184776382981,3.2544719180569786,-4.408857107906166,4.612202526841864,45,CD1,2022-08-02
