time,name,location,salinity_raw_ppm,salinity_factor,salinity_ppm,comment,sal,salinity_g.l-1,density_kg.m-3
2022-04-13,ditchRD,ditchF,,1.2,,,350.0,0.8897422418754081,1000.6355301727682
2022-04-13,drainRD,drainF,,1.2,,,90.0,0.22879086219653352,1000.163422044426
2022-04-13,ditchCD,ditchA,,1.2,,,140.0,0.3558968967501633,1000.2542120691072
2022-04-13,drainCD,drainA,,1.2,,,95.0,0.24150146565189648,1000.1725010468942
2022-04-13,CD1-150,A150,400.0,1.2,480.0,,480.0,1.2202179317148454,1000.8715842369392
2022-04-13,CD1-200,A200,630.0,1.2,756.0,,756.0,1.9218432424508816,1001.3727451731792
2022-04-13,CD1-300,A300,960.0,1.2,1152.0,,1152.0,2.928523036115629,1002.091802168654
2022-04-13,CD2-150,B150,620.0,1.2,744.0,,744.0,1.8913377941580105,1001.3509555672557
2022-04-13,CD2-200,B200,1900.0,1.2,2280.0,,2280.0,5.796035175645516,1004.1400251254611
2022-04-13,CD2-300,B300,3800.0,1.2,4560.0,,4560.0,11.592070351291031,1008.2800502509222
2022-04-13,CD3-150,C150,,1.2,,,590.0,1.4998512077328308,1001.0713222912377
2022-04-13,CD3-200,C200,980.0,1.2,1176.0,,1176.0,2.989533932701371,1002.135381380501
2022-04-13,CD3-300,C300,1700.0,1.2,2040.0,,2040.0,5.185926209788093,1003.7042330069914
2022-04-13,RD3-150,D150,,1.2,,,340.0,0.8643210349646822,1000.617372167832
2022-04-13,RD3-200,D200,140.0,1.2,168.0,,168.0,0.42707627610019594,1000.3050544829288
2022-04-13,RD3-300,D300,850.0,1.2,1020.0,,1020.0,2.5929631048940465,1001.8521165034957
2022-04-13,RD2-150,E150,,1.2,,,480.0,1.2202179317148454,1000.8715842369392
2022-04-13,RD2-200,E200,1000.0,1.2,1200.0,,1200.0,3.0505448292871136,1002.178960592348
2022-04-13,RD2-300,E300,1500.0,1.2,1800.0,,1800.0,4.57581724393067,1003.2684408885219
2022-04-13,RD1-150,F150,,1.2,,,550.0,1.398166380089927,1000.9986902714928
2022-04-13,RD1-200,F200,1500.0,1.2,1800.0,,1800.0,4.57581724393067,1003.2684408885219
2022-04-13,RD1-300,F300,2300.0,1.2,2760.0,,2760.0,7.0162531073603605,1005.0116093624002
2022-05-04,ditchRD,ditchF,,,350.0,,350.0,0.8897422418754081,1000.6355301727682
2022-05-04,drainRD,drainF,,,,,90.0,0.22879086219653352,1000.163422044426
2022-05-04,ditchCD,ditchA,,,140.0,,140.0,0.3558968967501633,1000.2542120691072
2022-05-04,drainCD,drainA,,,,,95.0,0.24150146565189648,1000.1725010468942
2022-05-04,CD1-150,A150,,,80.0,before pumping,80.0,0.20336965528580758,1000.1452640394899
2022-05-04,CD1-200,A200,,,580.0,before pumping,580.0,1.4744300008221047,1001.0531642863015
2022-05-04,CD1-300,A300,,,1000.0,before pumping,1000.0,2.5421206910725944,1001.8158004936233
2022-05-04,CD2-150,B150,,,540.0,before pumping,540.0,1.372745173179201,1000.9805322665566
2022-05-04,CD2-200,B200,,,200.0,before pumping,200.0,0.5084241382145189,1000.3631600987246
2022-05-04,CD2-300,B300,,,2700.0,before pumping,2700.0,6.863725865896005,1004.9026613327828
2022-05-04,CD3-150,C150,,,590.0,before pumping,590.0,1.4998512077328308,1001.0713222912377
2022-05-04,CD3-200,C200,,,1600.0,before pumping,1600.0,4.067393105716151,1002.9052807897973
2022-05-04,CD3-300,C300,,,1600.0,before pumping,1600.0,4.067393105716151,1002.9052807897973
2022-05-04,RD3-150,D150,,,340.0,before pumping,340.0,0.8643210349646822,1000.617372167832
2022-05-04,RD3-200,D200,,,130.0,before pumping,130.0,0.3304756898394373,1000.2360540641711
2022-05-04,RD3-300,D300,,,520.0,before pumping,520.0,1.3219027593577493,1000.9442162566841
2022-05-04,RD2-150,E150,,,480.0,before pumping,480.0,1.2202179317148454,1000.8715842369392
2022-05-04,RD2-200,E200,,,890.0,before pumping,890.0,2.2624874150546095,1001.6160624393248
2022-05-04,RD2-300,E300,,,1300.0,before pumping,1300.0,3.304756898394373,1002.3605406417103
2022-05-04,RD1-150,F150,,,550.0,before pumping,550.0,1.398166380089927,1000.9986902714928
2022-05-04,RD1-200,F200,,,1700.0,before pumping,1700.0,4.321605174823411,1003.0868608391596
2022-05-04,RD1-300,F300,,,2700.0,before pumping,2700.0,6.863725865896005,1004.9026613327828
2022-05-05,CD1-150,A150,,,,after pumping,105.0,0.2669226725626224,1000.1906590518305
2022-05-05,CD1-200,A200,,,,after pumping,500.0,1.2710603455362972,1000.9079002468117
2022-05-05,CD1-300,A300,,,,after pumping,1250.0,3.1776508638407432,1002.2697506170291
2022-05-05,CD2-150,B150,,,1200.0,after pumping,1200.0,3.0505448292871136,1002.178960592348
2022-05-05,CD2-200,B200,,,2200.0,after pumping,2200.0,5.592665520359708,1003.9947610859713
2022-05-05,CD2-300,B300,,,3100.0,after pumping,3100.0,7.8805741423250435,1005.6289815302322
