time,location,name,depth_m,fresh_weight_written,fresh_weight_g,dry_weight_written,dry_weight_g,drydiff,volume_cm3,bulk_density,soil_moisture_v.v-1,soil_moisture_g.g-1,type ,bd,comment,piezo,interval,depth
2022-05-04,B35,,0.35,,148.5,,112.3,,100.0,1.123,0.36200000000000004,0.32235084594835267,volumetric (rings),36.2,,B,"(0.225, 0.375]",0.3
2022-05-04,B66,,0.66,,164.7,,121.0,,100.0,1.21,0.4369999999999999,0.36115702479338835,volumetric (rings),1.4252238805970148,g.cm-3,B,"(0.375, 0.7]",0.45
2022-05-04,C50,,0.5,,200.7,,161.1,,100.0,1.611,0.39599999999999996,0.24581005586592175,volumetric (rings),0.011778709757000122,g.g,C,"(0.375, 0.7]",0.45
2022-05-04,C55,,0.55,,157.2,,122.5,,100.0,1.225,0.34699999999999986,0.2832653061224489,volumetric (rings),,,C,"(0.375, 0.7]",0.45
2022-05-04,D30,,0.3,,182.60000000000002,,138.0,,100.0,1.38,0.44600000000000023,0.3231884057971016,volumetric (rings),,,D,"(0.225, 0.375]",0.3
2022-05-04,D55,,0.55,,189.5,,144.5,,100.0,1.445,0.45,0.31141868512110726,volumetric (rings),,,D,"(0.375, 0.7]",0.45
2022-05-04,E30,,0.3,,173.40000000000003,,133.0,,100.0,1.33,0.40400000000000036,0.30375939849624084,volumetric (rings),,,E,"(0.225, 0.375]",0.3
2022-05-04,E40,,0.4,,138.5,,103.8,,100.0,1.038,0.34700000000000003,0.3342967244701349,volumetric (rings),,,E,"(0.375, 0.7]",0.45
2022-06-01,A0-20a,,0.1,,131.7,,114.7,,,,0.21123632057671518,0.14821272885789002,gravimetric,,,A,"(0.0, 0.225]",0.15
2022-06-01,A0-20b,,0.1,,147.7,,128.9,,,,0.20786818429188403,0.1458494957331263,gravimetric,,,A,"(0.0, 0.225]",0.15
2022-06-01,A10-40a,,0.25,,178.0,,154.7,,,,0.2146588003743404,0.15061409179056245,gravimetric,,,A,"(0.225, 0.375]",0.3
2022-06-01,A20-40b,,0.3,,163.1,,141.8,,,,0.2140851104140789,0.15021156558533133,gravimetric,,,A,"(0.225, 0.375]",0.3
2022-06-01,C0-20a,,0.1,,126.8,,110.5,,,,0.21023664483014784,0.14751131221719455,gravimetric,,,C,"(0.0, 0.225]",0.15
2022-06-01,C0-20b,,0.1,,141.5,,123.6,,,,0.206403782060571,0.14482200647249197,gravimetric,,,C,"(0.0, 0.225]",0.15
2022-06-01,C20-40a,,0.3,,143.2,,127.2,,,,0.17927344410025328,0.12578616352201247,gravimetric,,,C,"(0.225, 0.375]",0.3
2022-06-01,C20-40b,,0.3,,151.0,,132.9,,,,0.19410498298574835,0.13619262603461244,gravimetric,,,C,"(0.225, 0.375]",0.3
2022-06-01,D0-20a,,0.1,,221.1,,189.1,,,,0.24118013844053132,0.16922263352723427,gravimetric,,,D,"(0.0, 0.225]",0.15
2022-06-01,D0-20b,,0.1,,178.0,,153.3,,,,0.22963489791745756,0.16112198303979117,gravimetric,,,D,"(0.0, 0.225]",0.15
2022-06-01,D20-40a,,0.3,,185.0,,159.3,,,,0.22993254068639835,0.1613308223477714,gravimetric,,,D,"(0.225, 0.375]",0.3
2022-06-01,D20-40b,,0.3,,185.5,,160.1,,,,0.22611297043825224,0.15865084322298567,gravimetric,,,D,"(0.225, 0.375]",0.3
2022-06-01,F0-20a,,0.1,,178.6,,149.0,,,,0.28313172393068203,0.19865771812080532,gravimetric,,,F,"(0.0, 0.225]",0.15
2022-06-01,F0-20b,,0.1,,166.4,,140.5,,,,0.2627281032559622,0.18434163701067618,gravimetric,,,F,"(0.0, 0.225]",0.15
2022-06-01,F20-40a,,0.3,,161.7,,136.0,,,,0.26932539508340636,0.18897058823529403,gravimetric,,,F,"(0.225, 0.375]",0.3
2022-06-01,F20-40b,,0.3,,155.7,,130.9,,,,0.27001949762265803,0.18945760122230695,gravimetric,,,F,"(0.225, 0.375]",0.3
2022-06-15,B20-40,,0.3,,151.6,,129.0,,100.0,1.29,0.22599999999999995,0.17519379844961236,volumetric (rings),,,B,"(0.225, 0.375]",0.3
2022-06-15,C0-20,,0.15,,183.1,,162.1,,100.0,1.621,0.21,0.1295496607032696,volumetric (rings),,,C,"(0.0, 0.225]",0.15
2022-06-15,C0-20,,0.1,,189.5,,167.3,,,,0.18912116048567668,0.13269575612671838,gravimetric,,,C,"(0.0, 0.225]",0.15
2022-06-15,C20-40,,0.3,,144.7,,175.7,,100.0,1.757,-0.31,-0.17643710870802506,volumetric (rings),,,C,"(0.225, 0.375]",0.3
2022-06-15,C40-60,,0.5,,182.8,,152.8,,100.0,1.528,0.3,0.1963350785340314,volumetric (rings),,,C,"(0.375, 0.7]",0.45
