Z,2022-07-06,2022-08-02,2022-08-17,2022-09-06,2022-10-06,2022-11-04,2022-12-01,2023-01-19,2023-02-08,2023-03-08,2023-04-16,2023-05-17,2023-06-07,2023-07-03,2023-08-02,2023-09-06,2023-10-04,2023-11-14,2023-12-13,2024-02-09,2024-03-19,2024-04-16,2024-05-14,2024-06-04,2024-08-07,2024-09-04,2024-10-09,2024-11-13
-4.7,456.71927695267124,626.0321139310558,708.4688117086298,971.661228213995,1165.5550184598887,620.7735728424096,891.3174233988648,1014.0404634087173,949.7370332223461,511.0105434664867,502.0118862626075,481.9218890721192,996.2284346686722,565.9822347056158,477.4275502094501,491.81497359727246,441.74490214828404,397.06160909177385,946.5639781756719,804.2155908987457,504.6433081669127,497.41044701586713,489.38889648523167,509.0124204140039,595.2618547409537,314.4458114164962,799.5943534611063,727.6786885067424
-4.6,456.6654364218204,626.0193033233029,708.4770152600162,971.750438434093,1165.7262841241484,620.71094149098,891.245926278885,1013.968643273199,949.6697728071657,510.9488087834139,501.95198530320283,481.869672834393,996.2045051112817,565.9417592454528,477.3840937848804,491.75646342987676,441.6993205434907,396.8062668442608,946.4187996216036,804.1353485880096,504.58288328815075,497.34909822215735,489.3294307013199,508.9529719119572,595.2137572738634,314.32684911942874,799.4966773577129,727.6580385689145
-4.5,456.561550280281,625.906969733842,708.4494273591766,971.8411452371286,1165.9137301593173,620.5788618372573,891.0973663396296,1013.8154609808003,949.5190837763728,510.8404980336756,501.84251087545965,481.76564565409615,996.1309989762644,565.8580588328697,477.2920560913821,491.6430107561803,441.60466438758124,396.5204869072438,946.1301296736389,803.9757896304943,504.4612774347766,497.2330395356298,489.2166557617647,508.84076946862297,595.112763275347,314.1369229076778,799.3003596318002,727.5720452466907
-4.4,455.9511164898673,625.1166438355054,708.3022532845954,972.4046888974859,1167.0245795439548,619.8155153518317,890.2221270901182,1012.889737687488,948.6063663401678,510.2086958542387,501.1992852425951,481.1576113231912,995.6781301909037,565.3502780889235,476.7451113000576,490.97729539389195,441.0453831139568,395.0939884424802,944.3545916553887,803.0369386570147,503.75564547564903,496.54874724257945,488.5488648862697,508.16870067587666,594.3830017808684,313.03795664825026,798.141537014749,726.9902622388681
-4.3,455.7911523675559,624.8917461840257,708.3208432757968,972.6824164361809,1167.5082379543426,619.6192558570808,890.0167981671594,1012.6693697748889,948.386305106176,510.0467306259732,501.03336796052884,481.00302290518437,995.6204200931753,565.2338368237891,476.6075024594893,490.8034309673406,440.901169127294,394.6978483814264,943.8423616049203,802.7997917473117,503.56950093135856,496.3686291551793,488.37341034427806,507.99106851842686,594.1663158713519,312.70353741129753,797.8329815879763,726.8414970040341
-4.2,455.37016677256514,624.1150121724106,708.8701092411607,974.5387749582528,1170.519848173093,619.1274983942803,889.7447391866939,1012.3737064117618,948.0994016993443,509.6637029628429,500.6263581116999,480.6410844616351,996.0660165163932,565.122998618784,476.31078920863075,490.3511767842137,440.545177957173,392.9069559362348,942.2163517909347,802.2938486834471,503.07029776686903,495.88911795350276,487.908652913641,507.5138291843322,593.3873641547107,311.40489680821906,796.9858118729945,726.5096105385455
-4.1,455.2587483190686,623.5584607980272,710.2101914211577,977.7976060646396,1175.4655912762105,619.0655848549682,890.2804169646137,1013.0259143661809,948.6836281011425,509.67384963755836,500.5937442281542,480.63445593820154,997.482138407373,565.5437117199092,476.37807917114367,490.241526786154,440.50633171663367,391.0881661905002,941.1048383627083,802.4324301875494,502.90881340095973,495.7397919337956,487.7676057300129,507.37075119573296,592.8339077350201,310.09332520569956,796.6641116560819,726.6251233722487
-4.0,455.03292258246205,623.0653874885728,710.5342767183505,978.8777548683433,1177.262108102439,618.7996648514321,890.2295792512466,1012.9800836770171,948.6423638673491,509.48220765777296,500.38528332455246,480.45173840507243,997.6372355995738,565.5483060766887,476.2346456309845,490.0087135975006,440.3227267451497,390.0219366213161,940.3081200080464,802.2125106613374,502.6423724519481,495.4813678598046,487.5165697334853,507.11156380201453,592.3064522304675,309.38883794553146,796.2169073951915,726.3472542824936
-3.9,453.84598836886374,620.621545488919,711.7630246015589,983.4552640702241,1185.2455454973456,617.3720471312995,889.8098799040462,1012.5573771333387,948.249546509137,508.4383944162238,499.26847682044746,479.46334473322435,997.9708308993863,565.4211632734898,475.43479020014905,488.78864898946466,439.33908760481705,385.24888524810626,936.5690770442707,801.0007154698591,501.256444949297,494.1385318238711,486.2082027249121,505.75479401519914,589.6688436006951,306.0713469119759,793.8904221892928,724.8097750574091
-3.8,453.4205544464173,619.7850257113633,711.9697991461129,984.5601092229414,1187.3065601812045,616.8455963596092,889.5452995206213,1012.2733828639149,947.9889127261522,508.045234849542,498.8555687882353,479.0907914610537,997.8665651642709,565.2841800398456,475.1170293287259,488.34793917268894,438.97375773662964,383.846629217239,935.3771586154685,800.5114934006917,500.7653076569653,493.66018450734526,485.7407908775859,505.2715971626586,588.7891791701288,305.0756111619162,793.0662763792058,724.2190088092113
