Z,2023-04-16,2023-05-17,2023-06-07,2023-07-03,2023-08-02,2023-09-06,2023-10-04,2023-11-14,2023-12-13,2024-02-09,2024-03-19,2024-04-16,2024-05-14,2024-06-04,2024-08-07,2024-09-04,2024-10-09,2024-11-13
-4.7,35.74104016985393,32.690556027328775,38.60242225110968,23.258537978431516,28.097906138512535,31.87650317410816,34.05319014811554,49.5555579569506,28.135876239928777,44.67426352018137,31.08174596968018,37.309085967672054,34.172690140653685,44.44731763415634,24.52910026764128,7.682182104932752,40.2727721973145,34.74054367253217
-4.6,35.765123815356645,32.70929853239815,38.626962184141874,23.27066632984814,28.115343306721513,31.89432064019822,34.06957257123435,49.58853196021315,28.151113719090347,44.69509078566884,31.098376786533716,37.33325151510672,34.19237514222894,44.47264873881061,24.54178741819497,7.687108864143723,40.30030197942671,34.76130656953768
-4.5,35.723195648087184,32.66888586508775,38.581670593433145,23.23951987533918,28.08334416965345,31.85484570116228,34.0224421902103,49.53405057987062,28.114489971196292,44.64209528929577,31.05777521988242,37.291053706870834,34.14979562894254,44.41806819504859,24.50936218921843,7.67848773839273,40.25759396801229,34.71916949041393
-4.4,39.30137113026981,35.926204700012754,42.43727130980927,25.54226957681215,30.900068741680847,35.02653578968696,37.39235543223046,54.50600426318945,30.903975640339247,49.1038958290273,34.141502408549634,41.02567124157386,37.5526858745504,48.85054109396078,26.940169320816224,8.449529703205616,44.31713165510178,38.18330697789742
-4.3,41.519042682977144,37.94709219595555,44.82735282539261,26.973881526342872,32.64447466407987,36.99547189667901,39.490544640731805,57.58269118568886,32.637158013930424,51.87001326310361,36.0574466338334,43.33865141804499,39.66440622392422,51.600618165803795,28.450761819591698,8.926514229867827,46.82694058132442,40.33192914259785
-4.2,49.9460140817584,45.61118531988741,53.895282920458186,32.40429903985732,39.26877838602354,44.464232656624404,47.47596558607831,69.25891712087491,39.2036921758553,62.37242848737177,43.32066859603688,52.12477254560597,47.67422797764913,62.03816241835833,34.17731336041243,10.73890755166283,56.36489305779104,48.49176438634513
-4.1,58.77379928678973,53.63066330066022,63.397603799568515,38.078660475854406,46.22760169969646,52.28530972583676,55.85486016995783,81.49857271083259,46.057613238572635,73.36913309612522,50.90915045736993,61.34687159652925,56.054623641278425,72.97221191130312,40.15841416297509,12.642419951346898,66.39101034717208,57.04426527514419
-4.0,62.82697102704126,57.313894423791446,67.76614618051596,40.68598507857012,49.42962305162428,55.88096407170499,59.71059742872853,87.1252199086004,49.20531619579877,78.41963554879808,54.393114266878726,65.58383154971342,59.90338140682137,77.99348806670534,42.90745207656927,13.517191955989992,70.99816316310768,60.98075681068682
-3.9,85.39894705233259,77.80642334889168,92.09572141372053,55.1877754520703,67.28512172252861,75.89957925555919,81.21904130236553,118.49503563658354,66.6973131983419,106.54429461254922,73.75770757479901,89.18769892239953,81.31396035350413,105.95279398820011,58.19967796188137,18.3940113535593,96.69160745333966,82.93181910077361
-3.8,92.76310743191154,84.48418497398215,100.03165697402405,59.91185808976722,73.11851629314188,82.42842790078934,88.240271906783,128.74683335835422,72.3875450538678,115.7239403882198,80.05935333591815,96.89437871021414,88.28954548987845,115.07199674904577,63.18170120330094,19.987385286421095,105.09092579755755,90.10708433864531
-3.7,113.69289247461533,103.39249743392732,122.55465790642994,73.28762916628651,89.73582864468547,100.96330904479639,108.15771028245506,157.94598425940137,88.44551755317188,141.7697216331148,97.852532401114,118.79600695994998,108.0292264808008,140.91623878928948,77.33202681477869,24.542386406506157,129.06654851058823,110.64831355613056
-3.6,138.4925781106075,125.66139682379652,149.136884251549,89.04812136668177,109.44876419980396,122.83252328359687,131.72463517572936,192.54611718638193,107.28882805741085,172.5598416874121,118.74598304604226,144.67775177087483,131.2639045939871,171.38239453876972,94.07337527540066,29.979237940797443,157.5745352766832,135.16980878044612
-3.5,149.56351290915396,135.58112735012463,160.95836582573784,96.09846922999772,118.25309832589768,132.56605384210545,142.2193392888937,207.95292502952537,115.6895841021331,186.2578445430611,128.049983884376,156.2219704221749,141.60543011463548,184.91932231710751,101.61802488161982,32.447020842812115,170.34750385251297,146.27387667228794
-3.4,209.34588504385675,188.9751499813194,224.51985323625152,134.21601368879698,165.92526605357014,184.86047143636827,198.67941705631395,290.9353059316447,160.9108562732491,260.0592955305062,178.05227173276816,218.45731999075366,197.19178229736707,257.5296974510014,142.8100743803675,46.13401687279569,239.9012580765259,207.4801320785779
-3.3,227.00740162362314,204.69551724784435,243.1966999958827,145.51304829655223,180.0903038246202,200.2067559370103,215.28413041040065,315.36900480486435,174.23359989466812,281.7975754871784,192.7415228965485,236.81705011273635,213.52109258415672,278.78411474909285,155.20181606153116,50.35042737280067,260.7287315682019,226.1524219491702
-3.2,277.9208635973955,251.05268619413795,295.5692948891545,180.59749602716295,222.93534418883522,241.09767746351625,260.28083170331564,381.1761332888383,215.84653634927452,342.9789156102478,236.51775791956612,288.8157921363631,260.6049287964418,336.2370330239267,196.48132071447336,66.8017729901152,325.6244473587687,290.9687927731958
-3.1,344.2688912174854,317.5021137297524,362.7200698976341,234.78838021665703,285.9187083324233,284.2052333040399,310.2972824204108,455.0429903695436,282.7044171215403,422.5783436804302,301.0436959154617,353.05141802192946,324.9274729071822,404.4439594256475,262.887860695607,100.38768716089828,422.02426785550716,401.61801955473896
-3.0,387.97886918353197,370.69755382829567,405.31576467544176,281.0890119604522,330.9237736114499,301.82579484617634,330.99868448527695,489.9474190816974,347.1710725316875,474.96829669079364,356.19491751705607,390.1193358507308,372.8336579531783,442.0815945141711,315.30651405705436,135.265167946206,492.99488072574565,488.31021772028663
-2.9,459.7464744030323,437.97849052254116,449.90667458375555,342.3837838143587,359.93139818529437,342.3992947116937,358.86472216627794,544.3264439509081,439.8434123364218,531.7766148565181,430.50562886109736,450.3369011450708,432.9737110283472,476.07069013512654,405.0349698847323,200.27126653908374,596.3651642876149,613.1794615347532
-2.8,505.34083144021776,412.9480972688804,407.6849387919174,341.42396600299264,305.61026287842554,351.44289048840545,342.7071949485849,509.8295173429515,439.7601065961788,469.31700421423614,416.9850883526248,486.47251486438057,410.41975900426735,426.3682780688187,500.08814416360076,315.0647710494058,639.5817501391308,698.7344884463613
-2.7,561.8446915661095,383.3743763319744,365.96699411115634,331.7856900308111,271.2833079303209,326.62281169906015,313.03517568928663,438.5432727837421,428.8444518709726,402.6021348531913,399.3645245125202,539.6823918609626,388.6698668331334,396.88267827292856,545.2631077397565,435.5515059337574,643.3774454098847,652.7548691983425
-2.6,675.0716999981365,382.4876298225374,335.5889573050588,347.7071636484873,271.34694096612293,328.91119224221603,315.83916254220065,372.375360736827,447.7381956567111,363.5384298718563,408.8156901872055,661.4116104430368,389.27823795385547,381.7798567006479,597.927061314345,589.9739114974606,676.1611632856408,569.2589243378071
-2.5,704.7513927796223,391.60636490457233,332.1382957105017,413.59633348085646,379.94857610524497,416.842477898064,432.93701202278925,344.3586783381003,444.07659892264604,351.1060431896132,398.9057682355824,693.3737194125845,371.30681402460004,349.6899045253845,771.4412917233302,942.3429453840635,740.3474489043257,635.998943301298
-2.4,607.5845693164629,362.6752682554541,323.48878587369813,402.432110838878,413.6303371720805,430.9063184297503,467.76938166655754,333.7818246163071,394.2630355943951,334.2611141890755,356.12559920728813,583.6115870335534,328.92131048378997,320.55094158479164,772.6960452583588,1136.2082091675582,671.1505643464119,646.2807453617105
-2.3,462.4545959508504,284.58803318058926,273.8896150479168,303.0213602059351,317.6087393337995,325.60556451675103,346.8870302310523,296.3390893803013,309.24657586815846,291.3896766808754,287.3042783248226,433.82599873853934,262.5869429060591,270.1860848933174,687.054600659912,1159.3881276843697,535.1383990486075,638.3640703897612
-2.2,503.3558630523898,299.11330355765284,306.95398037987485,323.9130755233962,363.6313275775515,379.06797211675865,387.6179694729384,301.5886319971485,330.015404166972,317.6877153686165,312.73887875137126,467.84403107202417,281.7936091962871,295.39879813544246,634.2730092539067,819.1469911702508,564.5474613466681,687.4480571133294
-2.1,504.5666965166922,305.68078721709026,326.04913557806805,331.8560924507024,396.3740190515544,430.9084717716212,433.3559485745579,318.8322551565551,337.6307669493722,329.9067287597479,316.66948568481735,464.4957086261822,284.7183958112943,303.31449424811416,533.9466507098649,538.1823599147916,544.1886613663364,585.0538277626094
-2.0,434.24608795162965,266.510131460577,284.54098049943383,277.8902109349197,344.722700517025,356.16203362346187,364.2605334870613,308.4476437598621,297.8087867156527,289.22168144470174,271.58568185951543,400.19312039372215,246.8236512571743,270.27154370227856,462.8277844490951,407.8575527767937,477.2987130790545,419.22895052243643
-1.9,354.2220489121635,201.75530688048946,216.37977551372455,199.92658959207552,237.35624555562006,247.16931789866814,249.82693602665407,270.4391743233303,227.5993528361893,226.47778178598014,201.3640736916037,334.63436499481116,184.5457660530851,205.37571516230483,340.2842993801532,291.9045672240659,397.88750845026453,317.3606362972592
-1.8,313.7677354948529,170.08605796766085,178.07744155739158,164.72391870700946,189.31638869849834,210.1978005001918,208.3288722871192,234.77646615789953,189.13861947490196,185.92060315251038,163.48133294578642,300.1891707660613,150.49000170291725,163.12002780665753,297.6263103736771,257.7222649053959,368.965490202002,308.2204743521012
-1.7,273.4088278352104,143.07811910018987,142.3225458696951,141.3653223477588,165.1709615638516,189.55646347362483,195.48648964954742,174.1938383136745,147.23667163288513,136.5766507116738,124.8226120926344,262.45325301286186,118.0366895790646,122.20938929206842,312.70792611274663,272.0378193340926,351.9906364278646,345.18649280255977
-1.6,218.11313778577292,118.01826576454097,111.5078011642508,124.83492232660019,133.68859387541352,106.93704078003042,135.2282683400678,126.64312960596597,109.42413573166517,98.46887492022643,92.63451792703559,206.07611577605763,92.1534728635527,93.33454068349351,274.6072729423499,262.01236631880346,266.60065663305613,251.23041590651962
-1.5,181.79756839238465,105.20754418095102,101.738673845327,101.31057807407772,55.522375145627954,44.354030785241164,52.10355987699437,105.86963204475798,94.6991839320847,83.28762187755994,81.66028665335854,167.28516316118612,83.59813049449873,86.74460122866478,189.4214983364924,184.8355225791367,205.4773527910915,162.2688619419374
-1.4,143.4483441222932,89.77760438451779,102.19394928689466,70.71431203834734,17.655704175967553,18.963578850088314,18.429804092348853,95.12176170548355,83.45412547970142,73.63337628238996,72.19717499206588,127.0291454696255,75.15035969816607,83.98241224724278,124.88434650093541,95.04343641760876,157.8807836032078,132.10637755554635
-1.3,115.69372068148448,75.581484968178,91.38180218912116,51.5054104909614,11.250812527935311,12.288093918625297,11.60650540504073,79.76626871461292,75.22067656911221,63.661229421772816,63.27125326968741,105.311476786203,64.36093534923147,78.57368094472375,60.85786087373685,33.840290651367184,97.62723460980314,79.15138508941314
-1.2,98.68158565062559,70.03099581394737,59.06624113895803,41.45901309430711,8.056726571925001,8.98968049055674,8.433284237997265,69.02565273682299,72.88511009702165,57.65037550474248,61.71065734660013,96.19347776811387,59.99691993540724,59.136254239966,55.77505129857728,30.8862702670178,85.5105635208283,67.44102293132799
-1.1,86.53732493210433,74.40484120998006,39.64514627175212,35.7268276886852,5.802060736436751,8.206971065838514,8.111322949848466,70.42484548387681,80.77999524356477,62.358515736564996,71.55663277811122,91.38982223154284,66.1875188652573,45.86131745848834,89.064639191114,72.23418261393611,106.65825046497444,98.91931894755653
-1.0,96.98650090962427,102.59507734028814,54.17276106255951,29.730005749611568,4.253334810059421,12.93019312819608,14.76121688485011,121.12230735731335,109.33141534446187,102.73818515868888,103.39022814636716,107.7880367262964,96.8791165713421,66.95288674557905,112.22745208798976,126.55125140981025,131.20787252482808,117.98881921859683
-0.9,106.03133100660146,131.08548471133184,66.21745976324539,21.236073333963073,3.524860104701936,15.717388643330771,19.57786095583461,141.23865830968865,136.0508078773186,125.87623259623008,131.10189716638604,127.41478159139791,123.76749354478932,85.49051231435047,130.86331984819503,172.54600422326536,131.91580803652553,125.49021324467085
-0.8,99.53230549439454,141.3927102353321,63.19977529777932,12.418991994837825,3.919339724721675,10.362269039115484,13.956312107703418,72.30046063276693,146.76973767193098,87.11786223091805,141.1173817866136,129.1604099011293,132.2977124816039,92.35619766530398,128.52156806898196,195.98857655656258,113.53846912239223,117.08216333291541
-0.7,93.92942570212678,139.23028411669821,60.48028504435131,10.049054553756175,4.401396135486931,7.8995032062460915,10.884606607653676,47.23400621604764,145.73745534744512,68.33486781445801,139.29238160540496,123.73588827350865,130.25604018968556,93.8225181037097,108.80970496755566,160.44011188056288,97.47018981953389,92.60990775755394
-0.6,86.72716567650636,130.00508103380415,57.48638930984871,9.06109657580056,4.305367014013523,6.836506990234082,9.351049487164957,38.41145426460519,136.3172649013253,60.16799076858418,129.99461705110693,113.94428403153584,121.67442413694674,90.6737251745057,89.01234194950831,119.00819276506154,82.6518600338323,70.19816592793374
-0.5,79.59597356841454,119.83254923652905,53.999527562056706,8.344392981624042,4.045693876547518,6.129588002659947,8.274262054089247,33.792621417303536,125.68200799088208,54.759389371561824,119.5987146912427,104.25099151716634,111.8883001010013,85.57936566411412,74.52476154647276,91.7748401351207,70.57827057495456,55.10937423789163
-0.4,72.15030785232821,108.73307932367612,49.531519131819536,7.643715759589991,3.694898047592594,5.51891696085828,7.380264184559831,30.457038373974534,114.11842061515168,49.92382624535575,108.23211464187784,94.38078993272082,100.95564226740277,78.42471814113576,64.06597911561711,75.00084450133801,61.004148338316305,45.413948120564044
-0.3,59.20424767091799,89.43026568971035,41.093191747877164,6.344779531445711,3.059015632773877,4.5442807897979245,6.2787563275471205,24.5794088684419,93.96521361853294,41.49600643164124,88.66013498320252,77.46795468605823,82.57965045666468,64.24113148821736,51.600254037304566,59.251204322467174,51.369673469954435,37.54861754246572
