Z,2022-07-06,2022-08-02,2022-08-17,2022-09-06,2022-10-06,2022-11-04,2022-12-01,2023-01-19,2023-02-08,2023-03-08,2023-04-16,2023-05-17,2023-06-07,2023-07-03,2023-08-02,2023-09-06,2023-10-04,2023-11-14,2023-12-13,2024-02-09,2024-03-19,2024-04-16,2024-05-14,2024-06-04,2024-08-07,2024-09-04,2024-10-09,2024-11-13
-4.7,544.4262430653027,354.33580258733525,241.43211213051774,377.9522035596143,664.1799283085514,1093.8053841519984,1136.469366758019,1088.0003713707933,994.664777281029,1089.2256055975915,1049.346192000583,1003.5250098252067,991.6070576958037,747.4440949853552,975.699635749969,919.4745023924153,1042.7505558452958,1155.2974181202628,1249.3612076376282,797.0504364720098,897.301947450885,877.5765555178263,713.472719954442,941.7887227648249,513.9036488962976,957.7204915309516,921.1093455772473,803.6165302450887
-4.6,545.4369248667617,354.9769702300978,241.86849254030165,378.59093119648946,665.3733228733098,1095.978341451373,1138.7783381857819,1090.0684301357703,996.6158645937624,1091.289874685065,1051.3116332145846,1005.5058483739413,993.417296615547,748.8359613313991,977.5036060216637,921.1855901618284,1046.085713703968,1157.447402509753,1251.809353677081,798.5639412863757,899.0161298526357,879.2211653280709,714.8419805868741,943.5605861802029,514.8049677419885,959.6082882209608,922.8677383933948,805.195239296931
-4.5,546.7117189925821,355.7877486491838,242.43403058803014,379.42001192991376,666.8930257204335,1098.7668923735305,1141.6949430728923,1092.7244738128716,999.1168340049707,1093.9749063552808,1053.857499946218,1008.0501879963198,995.7324847382464,750.6423531234238,979.825543923573,923.3977858509791,1049.9195842087363,1160.2847391807713,1254.976311168343,800.5193012820619,901.2459816147162,881.3686391039608,716.5736258551583,945.886426986107,515.9655468779197,962.093812217028,925.1525329457465,807.1968208117987
-4.4,553.8922663146808,360.3862094670748,245.6261396300649,384.04839476776925,675.4064600297751,1114.6118530577548,1157.973749047762,1107.8307422218559,1012.9612579865917,1109.1761743288016,1068.317179674268,1022.1590161992044,1008.8877308875515,760.585006070155,993.0581944084826,935.9179952577741,1070.6600210703302,1176.7355996324313,1273.110775509857,811.6439173258366,913.9595965282296,893.6437225318289,726.4244239550455,959.2265289061197,522.5551301546863,976.4232855768896,938.2206291344568,818.5729868352515
-4.3,556.2595050495263,361.90156807172343,246.67370559952542,385.57068046516184,678.1929905851757,1119.8403537674226,1163.3300093504977,1112.8144591098555,1017.5109565579802,1114.1896377132543,1073.0894686484462,1026.791957038203,1013.2181219218386,763.7979942165658,997.4220518822381,940.0493050181981,1077.3801276031147,1182.197157546167,1279.1476422366804,815.3217595474799,918.1535811066617,897.7072965996741,729.67586044022,963.650946296318,524.7319302754337,981.1898227934375,942.5647430351722,822.330413458791
-4.2,565.074820101862,367.53727260259916,250.4941934187232,391.23331354951233,688.5579339769615,1139.9873062413453,1183.822824340818,1131.8470094470365,1034.61735877142,1133.222650092049,1090.914673416997,1044.2306911310152,1029.324018239179,773.7510439921933,1013.7225966530219,955.8544713683618,1103.3781520180914,1202.5935857298873,1302.449283838043,829.2253910552952,933.8792602932062,913.1384905875778,741.9722380765019,980.4719449786352,532.8300809989883,999.3777434403819,959.1709436969509,836.6996712078641
-4.1,574.8817514227864,373.7715432900314,254.71258138073344,397.4150614227829,700.1609866153304,1163.3016847028064,1207.1858996147905,1153.727319932201,1053.9190612644556,1155.0760488354024,1111.1088909509383,1063.925700890535,1047.321400373235,784.3060054585346,1032.0012096980581,973.9792673823579,1132.5432079257187,1225.950317959212,1329.2290789696738,844.8816696115474,951.7843161933617,930.7632394146864,755.823957013298,999.6867876553665,541.8536701173786,1020.2325002627183,978.1464849063103,853.0951569114811
-4.0,578.9474395706459,376.34130180404117,256.45033104865496,399.8798552977162,705.0103687461204,1173.1948487876784,1217.0624784074103,1162.8537644624002,1062.0252180861708,1164.1817284476608,1119.5216731699213,1072.2020423456397,1054.8161865446646,788.5857922936285,1039.6006012509285,981.6194159378668,1144.6384385779977,1235.9079023458128,1340.592167427553,851.3845129204117,959.2446493244763,938.1294909720573,761.5311259888418,1007.733862193223,545.5851349026929,1029.078168441742,986.0527884409568,859.9544095885469
-3.9,596.1764183675647,387.1123373582597,263.7893519520888,410.11648103687423,725.693262484142,1215.98941447167,1259.7769795396914,1201.9935062300824,1096.8830269899915,1203.2082465005515,1155.370951326366,1107.8173001617836,1086.6510841987842,806.3458529857663,1071.951794928075,1014.5491949282164,1197.3308645827624,1279.2238520553094,1390.2039820001512,879.1706451656437,991.1150870701377,969.9138515983551,785.9225038103463,1042.5152325286163,561.3709541433846,1067.8339619777207,1020.2167482282568,889.453576772679
-3.8,600.7116655129798,389.91028986940825,265.71273244875334,412.7585551578297,731.1717979316363,1227.5232815134382,1271.2785652797604,1212.4661648686838,1106.1873809447393,1213.6305504977306,1164.8618581780065,1117.3383515647208,1095.077677309146,810.9475950220051,1080.5262279426915,1023.3674574590312,1211.6856977037437,1290.956159281904,1403.7033888141154,886.5503457070965,999.5969361294283,978.460624059898,792.4272376982032,1051.8864705943126,565.5303343035991,1078.4082222104262,1029.4167672725198,897.3737426587646
